"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","675643884",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Memory Throughput","%","79.67",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","DRAM Throughput","%","79.67",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Duration","ms","441.01",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","29.43",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","L2 Cache Throughput","%","77.43",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","SM Active Cycles","cycle","668734906.95",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","14.91",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","SpeedOfLight","","","","SOLBottleneck","OPT","Memory is more heavily utilized than Compute: Look at the Memory Workload Analysis section to identify the DRAM bottleneck. Check memory replay (coalescing) metrics to make sure you're efficiently utilizing the bytes transferred. Also consider whether it is possible to do more work per memory access (kernel fusion) or whether there are values you can (re)compute.","",""
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","Memory Throughput","Tbyte/s","3.20",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","Mem Busy","%","46.90",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","Max Bandwidth","%","79.67",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","L1/TEX Hit Rate","%","12.16",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Ratio","%","0",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","L2 Compression Input Sectors","sector","18600439081",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","L2 Hit Rate","%","48.15",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Memory Workload Analysis","Mem Pipes Busy","%","14.91",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","286.39",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","286.39",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","32.00",
"0","71068","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatednb_E4_c48_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorpt_0","1","7","(128, 1, 1)","(64869, 1, 1)","0","9.0","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 155.2 cycles being stalled waiting for a scoreboard dependency on a L1TEX (local, global, surface, texture) operation. Find the instruction producing the data being waited upon to identify the culprit. To reduce the number of cycles waiting on L1TEX data accesses verify the memory access patterns are optimal for the target architecture, attempt to increase cache hit rates by increasing data locality (coalescing), or by changing the cache configuration. Consider moving frequently used data to shared memory. This stall type represents about 54.2% of the total average of 286.4 cycles between issuing two instructions.","local","54.21"
